id,att_covid,att_vaccine,att_safety,demographic_age,demographic_income,demographic_education
62,5.0,5.0,5.0,32,1591789.1444323866,5
63,5.0,5.0,5.0,30,278706.2245006372,1
64,5.0,5.0,5.0,61,683563.0535307819,3
65,5.0,5.0,5.0,49,960379.2955563506,2
66,5.0,5.0,5.0,66,1747887.8653962326,3
67,4.0,5.0,5.0,60,3447153.5872793025,3
68,5.0,5.0,5.0,47,2545364.6936102016,2
69,5.0,5.0,4.0,56,1136703.5061395797,2
70,5.0,5.0,5.0,48,975921.6363236395,3
71,5.0,5.0,5.0,78,2542231.4169988437,1
72,5.0,5.0,4.0,30,3161848.9541271953,1
73,5.0,5.0,4.0,75,742673.2584739887,3
74,5.0,5.0,4.0,50,1094207.024763134,3
75,5.0,5.0,4.0,56,1768966.1504583105,3
76,5.0,5.0,4.0,61,194963.1660961565,0
77,5.0,5.0,4.0,31,904880.0099007048,1
78,5.0,5.0,5.0,72,2947799.007964161,3
79,5.0,5.0,4.0,49,654300.955120799,2
80,5.0,4.0,5.0,25,1744568.1680079305,0
81,5.0,5.0,5.0,43,919483.7065437428,3
82,5.0,5.0,5.0,42,393022.99264886434,3
83,5.0,5.0,5.0,49,797619.2319697157,4
84,5.0,4.0,4.0,32,1081856.5840973943,2
85,4.0,4.0,4.0,31,844796.4234974515,2
86,5.0,4.0,5.0,77,688983.7474461457,2
87,5.0,5.0,4.0,60,3798667.82300296,1
88,4.0,5.0,4.0,29,962441.602821989,1
89,4.0,5.0,5.0,76,1442371.050539834,4
90,5.0,5.0,4.0,71,2094313.2717482944,2
91,4.0,5.0,4.0,24,979765.4439743169,4
92,5.0,5.0,4.0,33,59202.629933280405,2
93,5.0,5.0,5.0,72,3910382.3747265153,4
94,5.0,5.0,4.0,61,833382.05593749,1
95,5.0,5.0,4.0,39,330269.6858150639,2
96,5.0,5.0,5.0,64,1862531.6800698084,0
97,5.0,5.0,5.0,57,463362.9979514331,4
98,5.0,5.0,4.0,33,768790.1534774328,3
99,5.0,5.0,4.0,68,1964705.1770558115,3
100,4.0,5.0,5.0,24,1191774.0653404656,4
101,5.0,5.0,5.0,39,43078.157718110524,4
102,5.0,5.0,4.0,33,451098.7283455908,1
103,5.0,5.0,5.0,78,388469.5501819668,0
104,5.0,5.0,5.0,75,2054107.9916366634,2
105,5.0,5.0,5.0,61,988069.6309627146,0
106,4.0,5.0,5.0,28,91596.6000405738,0
107,5.0,5.0,5.0,78,107771.89928666498,1
108,5.0,5.0,4.0,26,1736039.328441711,2
109,5.0,5.0,4.0,58,1493275.7225503768,3
110,5.0,5.0,4.0,74,47030.27373698987,1
111,5.0,5.0,4.0,41,2292738.331813558,0
112,4.0,5.0,4.0,60,1918015.509159414,3
113,4.0,5.0,4.0,76,1597960.8551153336,3
114,4.0,5.0,4.0,43,2258252.0252374834,4
115,4.0,5.0,4.0,67,531371.3972359136,2
116,5.0,5.0,5.0,74,1866251.6791913903,0
117,5.0,5.0,5.0,58,2885718.8298529936,4
118,5.0,5.0,5.0,30,1382407.3292553024,5
119,5.0,5.0,5.0,43,1104346.7548508667,1
120,5.0,5.0,4.0,59,265696.7761140794,3
121,5.0,5.0,4.0,48,794156.1680330777,5
122,5.0,5.0,4.0,52,1525495.2971687564,4
123,5.0,5.0,4.0,42,1419424.858515464,0
124,4.0,4.0,5.0,60,822197.376690692,0
125,4.0,4.0,5.0,49,317709.2682535254,5
126,4.0,5.0,5.0,48,1732974.510018938,4
127,5.0,5.0,5.0,28,3188647.6180243245,3
128,5.0,5.0,4.0,45,783988.1117797832,4
129,5.0,5.0,4.0,37,3044999.4690255146,4
130,5.0,5.0,4.0,41,636532.9784068246,1
131,5.0,5.0,4.0,78,1443854.5859307162,3
132,5.0,5.0,4.0,34,1905014.2183800333,4
133,5.0,5.0,5.0,61,284362.1895672699,4
134,5.0,5.0,5.0,23,1324808.8014266468,4
135,5.0,5.0,5.0,70,1068434.0272377192,3
136,5.0,5.0,4.0,62,1607543.9022794024,2
137,5.0,5.0,4.0,78,252096.03517681977,1
138,5.0,4.0,5.0,56,1841004.1541942651,1
139,5.0,5.0,4.0,34,2043039.7860731748,4
140,5.0,5.0,5.0,63,171509.92477935224,3
141,4.0,4.0,5.0,23,820509.4775813714,5
142,5.0,5.0,5.0,46,2046552.9770247843,4
143,5.0,4.0,4.0,38,576426.0043018876,1
144,4.0,4.0,5.0,27,1707333.6839758768,5
145,4.0,5.0,4.0,46,1093442.8234165343,3
146,5.0,4.0,5.0,71,610230.3683304677,3
147,5.0,5.0,5.0,28,2885810.590384824,3
148,5.0,5.0,5.0,79,2570303.277179771,3
149,5.0,5.0,5.0,35,106802.2628485149,5
150,5.0,5.0,5.0,64,3155953.3746549594,1
151,5.0,5.0,5.0,60,1889408.0820389285,1
152,5.0,5.0,5.0,26,121227.71023346302,4
153,5.0,5.0,5.0,62,2235078.5554500725,4
154,4.0,5.0,5.0,37,1677522.135148749,3
155,5.0,5.0,5.0,74,432963.8794858776,0
156,5.0,5.0,4.0,69,2118329.4055736614,4
157,5.0,5.0,4.0,45,2861927.232311553,3
158,5.0,5.0,4.0,69,1405603.2250144456,3
159,5.0,5.0,4.0,33,1460239.164264987,1
160,5.0,5.0,5.0,52,326946.0158393922,3
161,5.0,5.0,4.0,45,1385438.9117197958,2
162,5.0,5.0,5.0,76,2310459.3602642147,1
163,5.0,5.0,5.0,70,2364128.758795868,4
164,5.0,5.0,4.0,51,2136357.246397219,3
165,5.0,5.0,5.0,28,1220814.9101893438,1
166,4.0,5.0,4.0,22,2468528.864682033,1
167,5.0,6.0,4.0,75,4127586.7374835783,2
168,5.0,5.0,4.0,51,991563.6323390126,3
169,5.0,5.0,5.0,71,1114257.4505444209,3
170,5.0,5.0,5.0,27,1903082.0937855176,3
171,5.0,5.0,4.0,68,631771.9396467686,3
172,5.0,5.0,5.0,25,2272264.9308486655,5
173,5.0,5.0,5.0,58,153229.06951405646,2
174,5.0,5.0,5.0,78,463461.4840185697,1
175,5.0,5.0,4.0,44,1303933.3857683472,3
176,5.0,5.0,4.0,60,1066162.7248551298,4
177,5.0,5.0,4.0,34,495149.39668074186,5
178,5.0,5.0,4.0,74,1495160.1937963567,1
179,5.0,5.0,4.0,79,2220627.797876369,5
180,5.0,5.0,5.0,65,805384.0436123066,4
181,5.0,5.0,5.0,59,1723174.6252175767,0
182,5.0,5.0,5.0,36,179654.154473754,2
183,5.0,5.0,5.0,49,410703.49193243374,0
184,5.0,5.0,4.0,37,1874935.8136070604,3
185,5.0,5.0,4.0,72,1410168.196844135,3
186,5.0,5.0,4.0,37,178264.78182618011,2
187,5.0,5.0,4.0,78,1168707.8973632175,5
188,4.0,5.0,4.0,34,839491.3771489226,3
189,5.0,5.0,5.0,39,2788006.4082666435,2
190,5.0,5.0,5.0,64,168461.47235912379,5
191,5.0,5.0,5.0,22,3191154.353350041,0
192,5.0,5.0,4.0,23,1328593.270437926,1
193,5.0,5.0,4.0,64,2460454.510650324,2
194,5.0,5.0,5.0,50,4198123.310752957,1
195,5.0,5.0,4.0,34,2106545.566443495,0
196,5.0,5.0,4.0,22,3423631.435863273,0
197,5.0,5.0,5.0,71,493394.8622194334,1
198,5.0,5.0,4.0,53,2221053.973972779,2
199,5.0,5.0,4.0,64,2325380.874347242,5
200,5.0,5.0,5.0,60,537846.8704878531,1
201,5.0,5.0,5.0,70,129976.1740235278,3
202,5.0,5.0,5.0,44,2123784.7007955047,5
203,5.0,5.0,5.0,46,309678.08040227473,0
204,5.0,5.0,4.0,70,351757.7052937565,3
205,5.0,5.0,4.0,49,80005.68036348466,3
206,5.0,5.0,4.0,69,1672685.099674575,3
207,5.0,5.0,4.0,22,1745852.8600666584,3
208,5.0,5.0,4.0,44,1758112.7164763976,2
209,5.0,5.0,4.0,29,2741987.2958614877,1
210,5.0,5.0,4.0,28,465511.859706173,4
211,5.0,5.0,4.0,33,1585704.87883243,4
212,5.0,4.0,4.0,65,895280.7834855614,1
213,5.0,5.0,4.0,76,2061034.6196774992,3
214,5.0,4.0,4.0,43,1287321.1971347148,3
215,5.0,5.0,4.0,48,1486880.9563817515,5
216,5.0,5.0,4.0,73,1017910.9512252565,4
217,5.0,5.0,5.0,69,907160.5073423766,1
218,5.0,5.0,5.0,22,432436.3162571987,3
219,5.0,5.0,5.0,73,38672.826149202534,5
220,5.0,5.0,5.0,57,300258.7219886704,4
221,5.0,5.0,4.0,51,1830642.5973568524,2
222,5.0,5.0,5.0,56,2313243.3943905593,5
223,5.0,5.0,5.0,68,1164072.145017676,0
224,5.0,5.0,5.0,31,748580.5501120246,3
225,5.0,5.0,5.0,32,1901515.9985902992,2
226,5.0,5.0,4.0,36,782002.1376229603,0
227,5.0,5.0,5.0,24,838975.0703241278,5
228,4.0,5.0,5.0,54,1366600.141954899,1
229,4.0,5.0,4.0,42,518263.6573003502,4
230,5.0,5.0,5.0,75,1336844.7390894257,1
231,4.0,5.0,5.0,49,1249385.010422887,4
232,5.0,5.0,5.0,27,2908870.7218801836,1
233,5.0,5.0,5.0,30,554837.8470801107,0
234,5.0,5.0,4.0,37,634937.4496378102,4
235,5.0,5.0,5.0,67,456014.246685017,0
236,5.0,4.0,4.0,44,2180590.8578167353,1
237,5.0,5.0,4.0,68,4208729.152139056,5
238,5.0,5.0,4.0,47,3020252.218017803,2
239,4.0,4.0,4.0,26,575022.1466327438,4
240,5.0,5.0,4.0,22,2999166.2323303213,3
241,5.0,5.0,4.0,46,3280425.8020695453,4
242,5.0,5.0,4.0,60,413579.3851918218,0
243,5.0,5.0,4.0,51,2081466.9986327172,3
244,5.0,5.0,5.0,55,2171067.7616547244,3
245,5.0,5.0,5.0,50,523114.35269178863,3
246,5.0,5.0,5.0,65,1713209.9013726937,3
247,5.0,5.0,5.0,68,3856871.5987333683,3
248,5.0,5.0,4.0,67,1363593.4740261491,2
249,5.0,5.0,4.0,29,1106017.8774319012,2
250,5.0,5.0,5.0,76,3438309.718724319,1
251,5.0,5.0,5.0,73,1123966.0091607163,4
252,5.0,5.0,5.0,62,1183940.1928766991,5
253,4.0,5.0,5.0,76,536352.4566913025,1
254,5.0,5.0,5.0,61,569649.5636803306,2
255,5.0,5.0,5.0,56,2462227.2899426366,5
256,5.0,5.0,4.0,41,501308.32513782306,1
257,5.0,5.0,4.0,26,2294083.184360395,2
258,5.0,5.0,4.0,55,632660.1054559028,0
259,5.0,5.0,4.0,22,541076.6208004325,3
260,5.0,5.0,5.0,54,493364.80438749056,4
261,5.0,5.0,5.0,58,2295353.515448297,4
262,5.0,5.0,5.0,61,1707574.0339544865,3
263,5.0,4.0,5.0,31,414018.2187514374,1
264,5.0,4.0,4.0,55,307164.6484444918,5
265,5.0,4.0,4.0,33,1035331.0327242737,3
266,5.0,4.0,4.0,36,1088581.4848575764,2
267,5.0,4.0,4.0,78,1287196.0468453213,4
268,5.0,5.0,5.0,74,562697.9648304464,4
269,5.0,5.0,5.0,28,2765649.2141550626,2
270,5.0,5.0,5.0,73,1226270.6319375827,3
271,5.0,5.0,5.0,77,2280498.311891368,1
272,5.0,5.0,4.0,48,2618790.901347771,1
273,5.0,5.0,4.0,45,762828.6026405207,3
274,5.0,5.0,4.0,55,1823743.4212249287,2
275,5.0,5.0,4.0,44,50843.67648410415,2
276,5.0,5.0,4.0,31,2084029.9925221861,3
277,5.0,5.0,4.0,59,1066145.855835946,5
278,5.0,5.0,4.0,36,734055.4585188136,5
279,4.0,4.0,4.0,60,2275674.0175119946,2
280,5.0,5.0,5.0,74,1088359.0546024775,1
281,5.0,5.0,5.0,75,234994.2727732257,5
282,5.0,5.0,5.0,64,492744.3821210309,0
283,5.0,5.0,5.0,31,765051.285977108,0
284,5.0,5.0,5.0,46,1957596.8798553667,2
285,5.0,5.0,5.0,36,2624729.596017188,4
286,5.0,5.0,5.0,64,106936.561271056,4
287,5.0,5.0,5.0,43,1318148.020451263,2
288,5.0,5.0,5.0,47,217940.300065948,3
289,5.0,5.0,4.0,76,77973.82937333397,4
290,5.0,5.0,5.0,69,136610.35790508814,4
291,5.0,5.0,4.0,23,3376186.811428501,1
292,5.0,5.0,4.0,36,772086.9251432521,3
293,5.0,5.0,5.0,55,2796674.1411047657,3
294,5.0,5.0,4.0,44,3171089.657688625,5
295,5.0,5.0,4.0,67,1740779.468335875,1
296,5.0,5.0,5.0,52,492527.33777021663,0
297,5.0,5.0,5.0,28,2949285.376380858,4
298,5.0,5.0,5.0,66,1930419.8566110842,2
299,5.0,5.0,5.0,32,427194.490356822,3
300,5.0,5.0,4.0,43,663383.2619817454,4
301,5.0,5.0,5.0,21,541305.5885965195,0
302,5.0,5.0,4.0,77,822127.1529914564,0
303,5.0,5.0,4.0,62,1713570.1936723934,1
304,5.0,5.0,5.0,27,1586527.416359257,4
305,5.0,5.0,5.0,76,812111.2011076853,1
306,5.0,5.0,4.0,40,2144673.622238211,3
307,5.0,5.0,4.0,36,80571.74143993262,4
308,4.0,5.0,5.0,37,435710.84204577614,3
309,4.0,5.0,5.0,64,1940051.7407713574,3
310,5.0,5.0,5.0,72,2098272.1209720024,2
311,4.0,5.0,5.0,24,378121.8287571919,2
312,5.0,5.0,4.0,22,202187.78886294365,1
313,5.0,5.0,4.0,80,1165945.7774488202,5
314,5.0,5.0,4.0,45,502755.2071410124,2
315,5.0,5.0,4.0,71,20378.04228120943,1
316,5.0,5.0,4.0,26,392487.9497051809,5
317,5.0,5.0,4.0,71,1509594.3965805813,2
318,5.0,5.0,4.0,22,1489093.196786766,3
319,5.0,5.0,4.0,46,2654597.841076512,1
320,5.0,5.0,5.0,49,865386.4681031576,3
321,5.0,5.0,5.0,34,3455303.9361245893,1
322,5.0,5.0,5.0,44,1919458.4407618458,0
323,5.0,5.0,5.0,44,1874930.3234256636,5
324,5.0,5.0,5.0,71,2306285.0612527053,5
325,5.0,5.0,5.0,29,3656186.3132288763,4
326,5.0,5.0,5.0,60,1879414.1042907275,1
327,5.0,5.0,4.0,55,1704182.1440497728,3
328,5.0,5.0,4.0,29,2977487.7671966315,1
329,4.0,4.0,4.0,31,678562.3356278186,0
330,4.0,5.0,4.0,46,881660.2131019918,5
331,5.0,5.0,4.0,22,885634.1280608226,5
332,5.0,5.0,5.0,34,1586381.9881529296,2
333,4.0,5.0,5.0,40,2116857.379331256,4
334,5.0,5.0,5.0,69,1658090.0817689537,5
335,4.0,5.0,5.0,71,746239.7790321163,4
336,5.0,5.0,4.0,52,1917479.8363169143,5
337,5.0,5.0,4.0,36,1829204.125318332,5
338,5.0,5.0,5.0,25,671614.7286310215,3
339,5.0,5.0,5.0,73,1572768.1464846476,0
340,5.0,4.0,5.0,48,4325129.430909955,4
341,5.0,4.0,5.0,44,433907.1277073753,3
342,5.0,4.0,5.0,46,634523.3708781067,5
343,5.0,4.0,5.0,59,419358.5438661379,2
344,5.0,5.0,5.0,53,519299.32432669855,3
345,5.0,5.0,5.0,63,1558821.890934668,4
346,5.0,5.0,5.0,24,684316.290920578,5
347,5.0,5.0,5.0,58,1350305.0562590575,3
348,4.0,5.0,4.0,78,771849.0913236154,2
349,5.0,5.0,4.0,69,1534305.1957117594,1
350,5.0,5.0,4.0,66,793840.1278749973,5
351,4.0,5.0,4.0,50,3071856.0137362434,1
352,5.0,4.0,5.0,28,1711771.6704449204,2
353,5.0,5.0,4.0,38,180740.17482661575,3
354,5.0,4.0,5.0,23,652483.7832868157,3
355,5.0,4.0,5.0,26,292707.2450254603,3
356,5.0,5.0,5.0,23,213119.58300286593,1
357,5.0,5.0,4.0,48,3998606.2582380176,3
358,5.0,5.0,4.0,23,322871.2575428555,1
359,5.0,5.0,4.0,78,2794521.83287835,4
360,5.0,5.0,4.0,46,5688.509940653952,4
361,5.0,5.0,5.0,43,2951447.5118427277,0
362,4.0,5.0,4.0,51,809633.300684413,1
363,5.0,5.0,4.0,24,2492214.7078058044,1
364,5.0,5.0,5.0,64,355826.3178476462,0
365,5.0,5.0,5.0,26,608222.2515038116,0
366,5.0,5.0,5.0,79,1619220.488148958,3
367,5.0,5.0,5.0,45,2597125.5869935486,4
368,5.0,5.0,5.0,67,2410863.526483166,0
369,5.0,5.0,4.0,78,131566.68647405168,3
370,5.0,5.0,5.0,76,232688.39109861717,3
371,5.0,5.0,4.0,69,1573895.8969094914,3
372,5.0,5.0,4.0,75,1180999.7749245248,4
373,5.0,5.0,4.0,63,554713.6086945853,4
374,5.0,5.0,4.0,55,1087600.7386123487,0
375,5.0,5.0,4.0,70,2213353.4730471405,3
376,5.0,5.0,5.0,58,1358846.1316539978,2
377,5.0,5.0,4.0,26,1530919.1033403724,4
378,5.0,5.0,5.0,67,2677057.626113601,2
379,5.0,5.0,4.0,42,779751.8952920707,2
380,5.0,5.0,5.0,68,1382767.2872356412,2
381,5.0,5.0,5.0,55,1017483.6109460084,2
382,5.0,5.0,5.0,67,1942461.2627266545,3
383,5.0,5.0,5.0,69,2309463.8976149014,3
384,5.0,5.0,4.0,41,1275732.549184802,5
385,5.0,5.0,4.0,78,1451440.4214248278,1
386,5.0,5.0,4.0,74,846528.7044314202,4
387,5.0,5.0,4.0,70,1112554.2829190765,1
388,5.0,5.0,5.0,46,266424.21328974044,4
389,4.0,5.0,5.0,26,2831344.420058597,1
390,5.0,5.0,5.0,59,2343571.524971979,4
391,5.0,5.0,4.0,39,594441.504495225,1
392,5.0,4.0,5.0,50,814660.0154873546,2
393,5.0,5.0,5.0,67,2196112.5596550996,4
394,5.0,4.0,5.0,43,320721.41249444854,0
395,6.0,4.0,5.0,77,1341475.1127324975,3
396,5.0,5.0,5.0,37,2975768.983888907,1
397,5.0,5.0,5.0,28,1852825.7756860268,3
398,5.0,5.0,5.0,64,3570282.6994298813,4
399,5.0,5.0,5.0,28,1502849.384957926,4
400,5.0,5.0,4.0,76,244949.86298374043,0
401,5.0,5.0,4.0,23,2273315.023275052,5
402,5.0,5.0,4.0,47,1017679.6820222955,4
403,5.0,5.0,4.0,60,2308261.4672059426,0
404,5.0,5.0,4.0,26,2230971.5474735964,4
405,5.0,5.0,4.0,25,844952.2662134096,1
406,5.0,5.0,4.0,76,300247.07165719644,5
407,5.0,5.0,5.0,76,1657011.6641940724,2
408,5.0,5.0,4.0,76,114712.20506917068,1
409,5.0,5.0,4.0,29,655174.8791880369,4
410,4.0,5.0,5.0,54,2124677.6358100795,3
411,5.0,5.0,5.0,30,1316064.8172613033,2
412,5.0,5.0,5.0,46,1385795.82948814,3
413,5.0,5.0,4.0,68,706152.5939210977,2
414,5.0,5.0,4.0,33,2412810.5571236573,2
415,5.0,5.0,5.0,52,667543.0602126203,1
416,5.0,5.0,4.0,31,376497.26578956045,2
417,5.0,5.0,5.0,21,397695.45160046936,3
418,5.0,5.0,4.0,57,1006325.8021156219,3
419,5.0,5.0,5.0,78,792546.9442902805,1
420,5.0,5.0,5.0,71,3234539.790390366,5
421,5.0,4.0,4.0,60,2085955.3867414338,4
422,5.0,5.0,4.0,66,325290.5818683882,2
423,5.0,5.0,4.0,25,2291521.4314053613,2
424,5.0,5.0,5.0,49,3747419.287011651,4
425,5.0,5.0,5.0,40,954551.5454012932,4
426,5.0,5.0,5.0,32,105197.19416509698,2
427,5.0,5.0,4.0,51,1821381.7778251322,2
428,4.0,5.0,4.0,39,3066180.6263766317,1
429,5.0,5.0,5.0,67,747692.5788835915,5
430,5.0,5.0,4.0,37,1436636.8433084975,2
431,5.0,4.0,5.0,75,2223145.9758247323,2
432,5.0,5.0,4.0,64,1554378.8071796128,5
433,5.0,5.0,5.0,21,872276.6084100775,4
434,5.0,5.0,4.0,78,1359966.7618440914,5
435,5.0,4.0,5.0,60,2049255.2992673158,4
436,5.0,5.0,5.0,27,2644818.2755730054,1
437,5.0,5.0,5.0,70,338917.48091713415,5
438,4.0,5.0,5.0,40,1500591.1689016689,3
439,5.0,5.0,4.0,63,3535639.1837180313,5
440,5.0,5.0,5.0,52,2183183.6497933115,3
441,5.0,5.0,4.0,22,2574806.3981879964,3
442,4.0,4.0,5.0,23,783367.5896964282,0
443,5.0,4.0,4.0,62,3446993.1227199156,2
444,5.0,5.0,4.0,39,268983.41215110256,3
445,5.0,5.0,5.0,39,1143162.5071271833,1
446,5.0,5.0,4.0,31,917925.1823799467,5
447,5.0,5.0,5.0,80,1572476.5330503504,1
448,5.0,5.0,5.0,35,273810.60243666323,2
449,5.0,5.0,5.0,79,448110.36546579306,1
450,5.0,5.0,5.0,39,2295159.9047394465,0
451,5.0,5.0,4.0,36,569475.0967663487,3
452,5.0,5.0,4.0,46,2303004.375389743,2
453,5.0,4.0,4.0,52,2228281.014744951,4
454,4.0,5.0,5.0,43,929279.9666960089,5
455,5.0,5.0,5.0,34,2077262.8503779995,4
456,5.0,5.0,5.0,29,1299943.716503153,1
457,4.0,5.0,4.0,36,2392849.3876688993,2
458,5.0,5.0,5.0,51,466252.7791584753,5
459,5.0,4.0,4.0,25,76117.72193260479,2
460,5.0,5.0,4.0,39,642105.5489788174,5
461,5.0,5.0,5.0,59,1872239.9614466233,4
462,5.0,5.0,4.0,53,600275.8864612451,1
463,5.0,5.0,5.0,49,1827786.0941354318,4
464,5.0,5.0,5.0,52,255652.91919847354,3
465,5.0,5.0,5.0,65,1651103.7741844447,3
466,5.0,4.0,4.0,44,2680028.104992238,1
467,5.0,5.0,5.0,61,929708.6895240231,3
468,5.0,5.0,4.0,72,1453954.2633231196,1
469,5.0,5.0,4.0,57,1107806.1475264828,4
470,5.0,5.0,4.0,64,2135968.048474406,0
471,4.0,5.0,4.0,23,466617.515939608,5
472,5.0,4.0,4.0,48,240878.30373174357,2
473,5.0,5.0,4.0,43,1979285.9348675935,1
474,5.0,5.0,4.0,30,954252.0810175786,2
475,5.0,5.0,4.0,51,3383037.613526242,3
476,5.0,5.0,5.0,22,679591.5253240908,5
477,4.0,5.0,4.0,71,2014781.51010758,2
478,5.0,5.0,4.0,54,369474.33881101775,2
479,5.0,5.0,4.0,44,437539.7529427727,5
480,5.0,5.0,5.0,59,1579409.2700688068,4
481,5.0,5.0,4.0,66,346823.1553136636,2
482,5.0,5.0,4.0,36,1069964.6718091322,4
483,5.0,5.0,5.0,45,2832739.5087933573,3
484,5.0,5.0,5.0,32,2704455.082481377,4
485,5.0,4.0,4.0,60,423903.3857149316,0
486,5.0,5.0,5.0,80,484604.33024465176,4
487,4.0,5.0,4.0,23,2227463.1444871463,3
488,5.0,5.0,5.0,29,671469.1866271305,3
489,5.0,5.0,4.0,33,681409.2511439063,3
490,5.0,5.0,4.0,24,155552.31696779525,3
491,5.0,5.0,5.0,39,351370.78662381694,1
492,5.0,5.0,4.0,30,134346.56309165794,0
493,5.0,5.0,4.0,50,286502.3717367421,1
494,5.0,5.0,4.0,44,1449130.8039169037,2
495,5.0,5.0,5.0,52,2349901.7745849625,3
496,5.0,5.0,5.0,25,3737667.4307497013,5
497,5.0,5.0,5.0,41,1371092.9075879913,3
498,5.0,4.0,5.0,59,3251483.77322846,3
499,5.0,5.0,5.0,57,1955145.2017564652,2
500,5.0,5.0,5.0,34,4217606.478781957,4
501,5.0,5.0,5.0,41,811225.3947057612,4
502,5.0,5.0,4.0,37,89088.30932672862,2
503,4.0,5.0,4.0,22,1356919.9828915873,4
504,5.0,5.0,4.0,28,2356695.763855164,0
505,5.0,5.0,4.0,49,2532010.096209686,1
506,5.0,5.0,5.0,50,1272202.8295379688,1
507,5.0,5.0,5.0,50,1834513.608698133,0
508,5.0,5.0,4.0,80,2747752.6936775395,5
509,5.0,5.0,4.0,56,57989.159913308664,3
510,5.0,4.0,5.0,39,1831169.5220726759,1
511,5.0,5.0,5.0,71,643527.350068201,5
512,5.0,5.0,5.0,65,652970.9817941138,4
513,5.0,5.0,4.0,38,3103961.6700228723,4
514,5.0,5.0,4.0,71,2191157.1269365717,3
515,5.0,5.0,5.0,37,374787.4707314214,4
516,4.0,5.0,4.0,50,663244.098938785,2
517,5.0,5.0,5.0,53,276402.13760819763,4
518,5.0,5.0,4.0,41,53317.888310815964,4
519,5.0,5.0,4.0,56,985581.2705808964,2
520,5.0,5.0,4.0,54,340676.2540907804,1
521,5.0,4.0,5.0,43,262723.0986669765,0
522,4.0,5.0,5.0,58,1919054.2968414691,4
523,5.0,5.0,4.0,71,85718.56532606114,4
524,5.0,5.0,4.0,59,1171294.606545772,4
525,5.0,5.0,5.0,46,2564392.385738763,3
526,5.0,5.0,4.0,68,1202535.241182165,2
527,5.0,5.0,4.0,28,677301.866289442,2
